Image,Flow,Sequence,Sequence_Index,Dino,GtMask
DAVIS17/JPEGImages/480p/bear/00010.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00010.flo,bear,10,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00010.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00010.png
DAVIS17/JPEGImages/480p/bear/00011.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00011.flo,bear,11,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00011.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00011.png
DAVIS17/JPEGImages/480p/bear/00012.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00012.flo,bear,12,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00012.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00012.png
DAVIS17/JPEGImages/480p/bear/00013.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00013.flo,bear,13,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00013.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00013.png
DAVIS17/JPEGImages/480p/bear/00014.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00014.flo,bear,14,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00014.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00014.png
DAVIS17/JPEGImages/480p/bear/00015.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00015.flo,bear,15,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00015.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00015.png
DAVIS17/JPEGImages/480p/bear/00016.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00016.flo,bear,16,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00016.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00016.png
DAVIS17/JPEGImages/480p/bear/00017.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00017.flo,bear,17,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00017.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00017.png
DAVIS17/JPEGImages/480p/bear/00018.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00018.flo,bear,18,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00018.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00018.png
DAVIS17/JPEGImages/480p/bear/00019.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00019.flo,bear,19,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00019.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00019.png
DAVIS17/JPEGImages/480p/bear/00020.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00020.flo,bear,20,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00020.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00020.png
DAVIS17/JPEGImages/480p/bear/00021.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00021.flo,bear,21,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00021.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00021.png
DAVIS17/JPEGImages/480p/bear/00022.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00022.flo,bear,22,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00022.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00022.png
DAVIS17/JPEGImages/480p/bear/00023.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00023.flo,bear,23,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00023.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00023.png
DAVIS17/JPEGImages/480p/bear/00024.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00024.flo,bear,24,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00024.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00024.png
DAVIS17/JPEGImages/480p/bear/00025.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00025.flo,bear,25,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00025.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00025.png
DAVIS17/JPEGImages/480p/bear/00026.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00026.flo,bear,26,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00026.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00026.png
DAVIS17/JPEGImages/480p/bear/00027.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00027.flo,bear,27,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00027.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00027.png
DAVIS17/JPEGImages/480p/bear/00028.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00028.flo,bear,28,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00028.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00028.png
DAVIS17/JPEGImages/480p/bear/00029.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00029.flo,bear,29,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00029.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00029.png
DAVIS17/JPEGImages/480p/bear/00030.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00030.flo,bear,30,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00030.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00030.png
DAVIS17/JPEGImages/480p/bear/00031.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00031.flo,bear,31,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00031.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00031.png
DAVIS17/JPEGImages/480p/bear/00032.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00032.flo,bear,32,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00032.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00032.png
DAVIS17/JPEGImages/480p/bear/00033.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00033.flo,bear,33,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00033.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00033.png
DAVIS17/JPEGImages/480p/bear/00034.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00034.flo,bear,34,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00034.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00034.png
DAVIS17/JPEGImages/480p/bear/00035.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00035.flo,bear,35,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00035.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00035.png
DAVIS17/JPEGImages/480p/bear/00036.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00036.flo,bear,36,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00036.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00036.png
DAVIS17/JPEGImages/480p/bear/00037.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00037.flo,bear,37,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00037.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00037.png
DAVIS17/JPEGImages/480p/bear/00038.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00038.flo,bear,38,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00038.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00038.png
DAVIS17/JPEGImages/480p/bear/00039.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00039.flo,bear,39,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00039.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00039.png
DAVIS17/JPEGImages/480p/bear/00040.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00040.flo,bear,40,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00040.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00040.png
DAVIS17/JPEGImages/480p/bear/00041.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00041.flo,bear,41,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00041.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00041.png
DAVIS17/JPEGImages/480p/bear/00042.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00042.flo,bear,42,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00042.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00042.png
DAVIS17/JPEGImages/480p/bear/00043.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00043.flo,bear,43,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00043.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00043.png
DAVIS17/JPEGImages/480p/bear/00044.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00044.flo,bear,44,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00044.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00044.png
DAVIS17/JPEGImages/480p/bear/00045.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00045.flo,bear,45,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00045.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00045.png
DAVIS17/JPEGImages/480p/bear/00046.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00046.flo,bear,46,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00046.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00046.png
DAVIS17/JPEGImages/480p/bear/00047.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00047.flo,bear,47,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00047.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00047.png
DAVIS17/JPEGImages/480p/bear/00048.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00048.flo,bear,48,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00048.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00048.png
DAVIS17/JPEGImages/480p/bear/00049.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00049.flo,bear,49,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00049.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00049.png
DAVIS17/JPEGImages/480p/bear/00050.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00050.flo,bear,50,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00050.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00050.png
DAVIS17/JPEGImages/480p/bear/00051.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00051.flo,bear,51,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00051.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00051.png
DAVIS17/JPEGImages/480p/bear/00052.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00052.flo,bear,52,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00052.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00052.png
DAVIS17/JPEGImages/480p/bear/00053.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00053.flo,bear,53,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00053.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00053.png
DAVIS17/JPEGImages/480p/bear/00054.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00054.flo,bear,54,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00054.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00054.png
DAVIS17/JPEGImages/480p/bear/00055.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00055.flo,bear,55,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00055.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00055.png
DAVIS17/JPEGImages/480p/bear/00056.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00056.flo,bear,56,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00056.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00056.png
DAVIS17/JPEGImages/480p/bear/00057.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00057.flo,bear,57,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00057.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00057.png
DAVIS17/JPEGImages/480p/bear/00058.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00058.flo,bear,58,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00058.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00058.png
DAVIS17/JPEGImages/480p/bear/00059.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00059.flo,bear,59,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00059.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00059.png
DAVIS17/JPEGImages/480p/bear/00060.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00060.flo,bear,60,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00060.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00060.png
DAVIS17/JPEGImages/480p/bear/00061.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00061.flo,bear,61,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00061.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00061.png
DAVIS17/JPEGImages/480p/bear/00062.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00062.flo,bear,62,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00062.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00062.png
DAVIS17/JPEGImages/480p/bear/00063.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00063.flo,bear,63,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00063.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00063.png
DAVIS17/JPEGImages/480p/bear/00064.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00064.flo,bear,64,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00064.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00064.png
DAVIS17/JPEGImages/480p/bear/00065.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00065.flo,bear,65,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00065.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00065.png
DAVIS17/JPEGImages/480p/bear/00066.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00066.flo,bear,66,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00066.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00066.png
DAVIS17/JPEGImages/480p/bear/00067.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00067.flo,bear,67,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00067.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00067.png
DAVIS17/JPEGImages/480p/bear/00068.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00068.flo,bear,68,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00068.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00068.png
DAVIS17/JPEGImages/480p/bear/00069.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00069.flo,bear,69,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00069.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00069.png
DAVIS17/JPEGImages/480p/bear/00070.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00070.flo,bear,70,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00070.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00070.png
DAVIS17/JPEGImages/480p/bear/00071.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00071.flo,bear,71,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00071.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00071.png
DAVIS17/JPEGImages/480p/bear/00072.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00072.flo,bear,72,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00072.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00072.png
DAVIS17/JPEGImages/480p/bear/00073.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00073.flo,bear,73,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00073.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00073.png
DAVIS17/JPEGImages/480p/bear/00074.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00074.flo,bear,74,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00074.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00074.png
DAVIS17/JPEGImages/480p/bear/00075.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00075.flo,bear,75,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00075.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00075.png
DAVIS17/JPEGImages/480p/bear/00076.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00076.flo,bear,76,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00076.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00076.png
DAVIS17/JPEGImages/480p/bear/00077.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00077.flo,bear,77,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00077.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00077.png
DAVIS17/JPEGImages/480p/bear/00078.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00078.flo,bear,78,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00078.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00078.png
DAVIS17/JPEGImages/480p/bear/00079.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00079.flo,bear,79,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00079.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00079.png
DAVIS17/JPEGImages/480p/bear/00080.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bear/00080.flo,bear,80,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bear/00080.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bear/00080.png
DAVIS17/JPEGImages/480p/bmx-bumps/00000.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bmx-bumps/00000.flo,bmx-bumps,0,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bmx-bumps/00000.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bmx-bumps/00000.png
DAVIS17/JPEGImages/480p/bmx-bumps/00001.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bmx-bumps/00001.flo,bmx-bumps,1,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bmx-bumps/00001.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bmx-bumps/00001.png
DAVIS17/JPEGImages/480p/bmx-bumps/00002.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bmx-bumps/00002.flo,bmx-bumps,2,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bmx-bumps/00002.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bmx-bumps/00002.png
DAVIS17/JPEGImages/480p/bmx-bumps/00003.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bmx-bumps/00003.flo,bmx-bumps,3,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bmx-bumps/00003.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bmx-bumps/00003.png
DAVIS17/JPEGImages/480p/bmx-bumps/00004.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bmx-bumps/00004.flo,bmx-bumps,4,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bmx-bumps/00004.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bmx-bumps/00004.png
DAVIS17/JPEGImages/480p/bmx-bumps/00005.jpg,DAVIS17/OpticalFlowRaftSintel/OpticalFlowP1/480p/bmx-bumps/00005.flo,bmx-bumps,5,/net/serpico-fs2/emeunier/DAVIS17/DINO/dino_vits8//480p/bmx-bumps/00005.jpg_240x427.npy,DAVIS17/Annotations_unsupervised/480p/bmx-bumps/00005.png
