Unnamed: 0,Image,Flow,FlowRGB,GtMask,Sequence,Sequence_Index,Dino
10,FBMS/FBMS_clean/JPEGImages/bear01/00011.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00011.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00011.flo.png,,bear01,11,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00011.jpg_270x480.npy
11,FBMS/FBMS_clean/JPEGImages/bear01/00012.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00012.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00012.flo.png,,bear01,12,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00012.jpg_270x480.npy
12,FBMS/FBMS_clean/JPEGImages/bear01/00013.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00013.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00013.flo.png,,bear01,13,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00013.jpg_270x480.npy
13,FBMS/FBMS_clean/JPEGImages/bear01/00014.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00014.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00014.flo.png,,bear01,14,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00014.jpg_270x480.npy
14,FBMS/FBMS_clean/JPEGImages/bear01/00015.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00015.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00015.flo.png,,bear01,15,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00015.jpg_270x480.npy
15,FBMS/FBMS_clean/JPEGImages/bear01/00016.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00016.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00016.flo.png,,bear01,16,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00016.jpg_270x480.npy
16,FBMS/FBMS_clean/JPEGImages/bear01/00017.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00017.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00017.flo.png,,bear01,17,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00017.jpg_270x480.npy
17,FBMS/FBMS_clean/JPEGImages/bear01/00018.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00018.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00018.flo.png,,bear01,18,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00018.jpg_270x480.npy
18,FBMS/FBMS_clean/JPEGImages/bear01/00019.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00019.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00019.flo.png,,bear01,19,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00019.jpg_270x480.npy
19,FBMS/FBMS_clean/JPEGImages/bear01/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00020.flo.png,FBMS/FBMS_clean/Annotations/bear01/00020.png,bear01,20,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00020.jpg_270x480.npy
20,FBMS/FBMS_clean/JPEGImages/bear01/00021.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00021.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00021.flo.png,,bear01,21,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00021.jpg_270x480.npy
21,FBMS/FBMS_clean/JPEGImages/bear01/00022.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00022.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00022.flo.png,,bear01,22,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00022.jpg_270x480.npy
22,FBMS/FBMS_clean/JPEGImages/bear01/00023.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00023.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00023.flo.png,,bear01,23,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00023.jpg_270x480.npy
23,FBMS/FBMS_clean/JPEGImages/bear01/00024.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00024.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00024.flo.png,,bear01,24,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00024.jpg_270x480.npy
24,FBMS/FBMS_clean/JPEGImages/bear01/00025.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00025.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00025.flo.png,,bear01,25,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00025.jpg_270x480.npy
25,FBMS/FBMS_clean/JPEGImages/bear01/00026.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00026.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00026.flo.png,,bear01,26,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00026.jpg_270x480.npy
26,FBMS/FBMS_clean/JPEGImages/bear01/00027.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00027.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00027.flo.png,,bear01,27,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00027.jpg_270x480.npy
27,FBMS/FBMS_clean/JPEGImages/bear01/00028.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00028.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00028.flo.png,,bear01,28,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00028.jpg_270x480.npy
28,FBMS/FBMS_clean/JPEGImages/bear01/00029.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00029.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00029.flo.png,,bear01,29,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00029.jpg_270x480.npy
29,FBMS/FBMS_clean/JPEGImages/bear01/00030.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00030.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00030.flo.png,,bear01,30,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00030.jpg_270x480.npy
30,FBMS/FBMS_clean/JPEGImages/bear01/00031.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00031.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00031.flo.png,,bear01,31,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00031.jpg_270x480.npy
31,FBMS/FBMS_clean/JPEGImages/bear01/00032.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00032.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00032.flo.png,,bear01,32,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00032.jpg_270x480.npy
32,FBMS/FBMS_clean/JPEGImages/bear01/00033.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00033.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00033.flo.png,,bear01,33,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00033.jpg_270x480.npy
33,FBMS/FBMS_clean/JPEGImages/bear01/00034.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00034.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00034.flo.png,,bear01,34,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00034.jpg_270x480.npy
34,FBMS/FBMS_clean/JPEGImages/bear01/00035.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00035.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00035.flo.png,,bear01,35,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00035.jpg_270x480.npy
35,FBMS/FBMS_clean/JPEGImages/bear01/00036.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00036.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00036.flo.png,,bear01,36,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00036.jpg_270x480.npy
36,FBMS/FBMS_clean/JPEGImages/bear01/00037.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00037.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00037.flo.png,,bear01,37,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00037.jpg_270x480.npy
37,FBMS/FBMS_clean/JPEGImages/bear01/00038.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00038.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00038.flo.png,,bear01,38,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00038.jpg_270x480.npy
38,FBMS/FBMS_clean/JPEGImages/bear01/00039.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00039.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00039.flo.png,,bear01,39,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00039.jpg_270x480.npy
39,FBMS/FBMS_clean/JPEGImages/bear01/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00040.flo.png,FBMS/FBMS_clean/Annotations/bear01/00040.png,bear01,40,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00040.jpg_270x480.npy
40,FBMS/FBMS_clean/JPEGImages/bear01/00041.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00041.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00041.flo.png,,bear01,41,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00041.jpg_270x480.npy
41,FBMS/FBMS_clean/JPEGImages/bear01/00042.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00042.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00042.flo.png,,bear01,42,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00042.jpg_270x480.npy
42,FBMS/FBMS_clean/JPEGImages/bear01/00043.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00043.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00043.flo.png,,bear01,43,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00043.jpg_270x480.npy
43,FBMS/FBMS_clean/JPEGImages/bear01/00044.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00044.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00044.flo.png,,bear01,44,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00044.jpg_270x480.npy
44,FBMS/FBMS_clean/JPEGImages/bear01/00045.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00045.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00045.flo.png,,bear01,45,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00045.jpg_270x480.npy
45,FBMS/FBMS_clean/JPEGImages/bear01/00046.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00046.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00046.flo.png,,bear01,46,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00046.jpg_270x480.npy
46,FBMS/FBMS_clean/JPEGImages/bear01/00047.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00047.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00047.flo.png,,bear01,47,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00047.jpg_270x480.npy
47,FBMS/FBMS_clean/JPEGImages/bear01/00048.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00048.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00048.flo.png,,bear01,48,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00048.jpg_270x480.npy
48,FBMS/FBMS_clean/JPEGImages/bear01/00049.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00049.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00049.flo.png,,bear01,49,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00049.jpg_270x480.npy
49,FBMS/FBMS_clean/JPEGImages/bear01/00050.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00050.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00050.flo.png,,bear01,50,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00050.jpg_270x480.npy
50,FBMS/FBMS_clean/JPEGImages/bear01/00051.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00051.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00051.flo.png,,bear01,51,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00051.jpg_270x480.npy
51,FBMS/FBMS_clean/JPEGImages/bear01/00052.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00052.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00052.flo.png,,bear01,52,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00052.jpg_270x480.npy
52,FBMS/FBMS_clean/JPEGImages/bear01/00053.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00053.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00053.flo.png,,bear01,53,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00053.jpg_270x480.npy
53,FBMS/FBMS_clean/JPEGImages/bear01/00054.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00054.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00054.flo.png,,bear01,54,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00054.jpg_270x480.npy
54,FBMS/FBMS_clean/JPEGImages/bear01/00055.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00055.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00055.flo.png,,bear01,55,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00055.jpg_270x480.npy
55,FBMS/FBMS_clean/JPEGImages/bear01/00056.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00056.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00056.flo.png,,bear01,56,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00056.jpg_270x480.npy
56,FBMS/FBMS_clean/JPEGImages/bear01/00057.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00057.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00057.flo.png,,bear01,57,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00057.jpg_270x480.npy
57,FBMS/FBMS_clean/JPEGImages/bear01/00058.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00058.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00058.flo.png,,bear01,58,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00058.jpg_270x480.npy
58,FBMS/FBMS_clean/JPEGImages/bear01/00059.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00059.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00059.flo.png,,bear01,59,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00059.jpg_270x480.npy
59,FBMS/FBMS_clean/JPEGImages/bear01/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00060.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00060.flo.png,FBMS/FBMS_clean/Annotations/bear01/00060.png,bear01,60,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00060.jpg_270x480.npy
60,FBMS/FBMS_clean/JPEGImages/bear01/00061.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00061.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00061.flo.png,,bear01,61,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00061.jpg_270x480.npy
61,FBMS/FBMS_clean/JPEGImages/bear01/00062.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00062.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00062.flo.png,,bear01,62,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00062.jpg_270x480.npy
62,FBMS/FBMS_clean/JPEGImages/bear01/00063.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00063.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00063.flo.png,,bear01,63,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00063.jpg_270x480.npy
63,FBMS/FBMS_clean/JPEGImages/bear01/00064.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00064.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00064.flo.png,,bear01,64,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00064.jpg_270x480.npy
64,FBMS/FBMS_clean/JPEGImages/bear01/00065.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00065.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00065.flo.png,,bear01,65,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00065.jpg_270x480.npy
65,FBMS/FBMS_clean/JPEGImages/bear01/00066.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00066.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00066.flo.png,,bear01,66,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00066.jpg_270x480.npy
66,FBMS/FBMS_clean/JPEGImages/bear01/00067.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00067.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00067.flo.png,,bear01,67,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00067.jpg_270x480.npy
67,FBMS/FBMS_clean/JPEGImages/bear01/00068.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00068.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00068.flo.png,,bear01,68,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00068.jpg_270x480.npy
68,FBMS/FBMS_clean/JPEGImages/bear01/00069.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00069.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00069.flo.png,,bear01,69,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00069.jpg_270x480.npy
69,FBMS/FBMS_clean/JPEGImages/bear01/00070.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00070.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00070.flo.png,,bear01,70,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00070.jpg_270x480.npy
70,FBMS/FBMS_clean/JPEGImages/bear01/00071.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00071.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00071.flo.png,,bear01,71,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00071.jpg_270x480.npy
71,FBMS/FBMS_clean/JPEGImages/bear01/00072.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00072.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00072.flo.png,,bear01,72,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00072.jpg_270x480.npy
72,FBMS/FBMS_clean/JPEGImages/bear01/00073.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00073.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00073.flo.png,,bear01,73,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00073.jpg_270x480.npy
73,FBMS/FBMS_clean/JPEGImages/bear01/00074.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00074.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00074.flo.png,,bear01,74,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00074.jpg_270x480.npy
74,FBMS/FBMS_clean/JPEGImages/bear01/00075.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00075.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00075.flo.png,,bear01,75,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00075.jpg_270x480.npy
75,FBMS/FBMS_clean/JPEGImages/bear01/00076.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00076.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00076.flo.png,,bear01,76,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00076.jpg_270x480.npy
76,FBMS/FBMS_clean/JPEGImages/bear01/00077.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00077.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00077.flo.png,,bear01,77,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00077.jpg_270x480.npy
77,FBMS/FBMS_clean/JPEGImages/bear01/00078.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00078.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00078.flo.png,,bear01,78,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00078.jpg_270x480.npy
78,FBMS/FBMS_clean/JPEGImages/bear01/00079.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00079.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00079.flo.png,,bear01,79,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00079.jpg_270x480.npy
79,FBMS/FBMS_clean/JPEGImages/bear01/00080.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00080.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00080.flo.png,FBMS/FBMS_clean/Annotations/bear01/00080.png,bear01,80,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00080.jpg_270x480.npy
80,FBMS/FBMS_clean/JPEGImages/bear01/00081.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00081.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00081.flo.png,,bear01,81,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00081.jpg_270x480.npy
81,FBMS/FBMS_clean/JPEGImages/bear01/00082.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00082.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00082.flo.png,,bear01,82,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00082.jpg_270x480.npy
82,FBMS/FBMS_clean/JPEGImages/bear01/00083.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00083.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00083.flo.png,,bear01,83,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00083.jpg_270x480.npy
83,FBMS/FBMS_clean/JPEGImages/bear01/00084.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00084.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00084.flo.png,,bear01,84,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00084.jpg_270x480.npy
84,FBMS/FBMS_clean/JPEGImages/bear01/00085.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00085.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00085.flo.png,,bear01,85,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00085.jpg_270x480.npy
85,FBMS/FBMS_clean/JPEGImages/bear01/00086.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00086.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00086.flo.png,,bear01,86,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00086.jpg_270x480.npy
86,FBMS/FBMS_clean/JPEGImages/bear01/00087.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00087.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear01/00087.flo.png,,bear01,87,FBMS/FBMS_clean/DINO/dino_vits8//bear01/00087.jpg_270x480.npy
