Unnamed: 0.1,Unnamed: 0,Image,Flow,FlowRGB,GtMask,Sequence,Sequence_Index,Dino
15,279,FBMS/FBMS_clean/JPEGImages/bear02/00180.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00180.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00180.flo.png,FBMS/FBMS_clean/Annotations/bear02/00180.png,bear02,180,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00180.jpg_180x320.npy
16,299,FBMS/FBMS_clean/JPEGImages/bear02/00200.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00200.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00200.flo.png,FBMS/FBMS_clean/Annotations/bear02/00200.png,bear02,200,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00200.jpg_180x320.npy
17,319,FBMS/FBMS_clean/JPEGImages/bear02/00220.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00220.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00220.flo.png,FBMS/FBMS_clean/Annotations/bear02/00220.png,bear02,220,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00220.jpg_180x320.npy
18,339,FBMS/FBMS_clean/JPEGImages/bear02/00240.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00240.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00240.flo.png,FBMS/FBMS_clean/Annotations/bear02/00240.png,bear02,240,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00240.jpg_180x320.npy
19,359,FBMS/FBMS_clean/JPEGImages/bear02/00260.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00260.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00260.flo.png,FBMS/FBMS_clean/Annotations/bear02/00260.png,bear02,260,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00260.jpg_180x320.npy
20,379,FBMS/FBMS_clean/JPEGImages/bear02/00280.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00280.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00280.flo.png,FBMS/FBMS_clean/Annotations/bear02/00280.png,bear02,280,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00280.jpg_180x320.npy
21,399,FBMS/FBMS_clean/JPEGImages/bear02/00300.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00300.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00300.flo.png,FBMS/FBMS_clean/Annotations/bear02/00300.png,bear02,300,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00300.jpg_180x320.npy
22,419,FBMS/FBMS_clean/JPEGImages/bear02/00320.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00320.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00320.flo.png,FBMS/FBMS_clean/Annotations/bear02/00320.png,bear02,320,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00320.jpg_180x320.npy
23,439,FBMS/FBMS_clean/JPEGImages/bear02/00340.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00340.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00340.flo.png,FBMS/FBMS_clean/Annotations/bear02/00340.png,bear02,340,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00340.jpg_180x320.npy
24,459,FBMS/FBMS_clean/JPEGImages/bear02/00360.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00360.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00360.flo.png,FBMS/FBMS_clean/Annotations/bear02/00360.png,bear02,360,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00360.jpg_180x320.npy
25,479,FBMS/FBMS_clean/JPEGImages/bear02/00380.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00380.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00380.flo.png,FBMS/FBMS_clean/Annotations/bear02/00380.png,bear02,380,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00380.jpg_180x320.npy
26,499,FBMS/FBMS_clean/JPEGImages/bear02/00400.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00400.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00400.flo.png,FBMS/FBMS_clean/Annotations/bear02/00400.png,bear02,400,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00400.jpg_180x320.npy
27,519,FBMS/FBMS_clean/JPEGImages/bear02/00420.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00420.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00420.flo.png,FBMS/FBMS_clean/Annotations/bear02/00420.png,bear02,420,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00420.jpg_180x320.npy
28,539,FBMS/FBMS_clean/JPEGImages/bear02/00440.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00440.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00440.flo.png,FBMS/FBMS_clean/Annotations/bear02/00440.png,bear02,440,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00440.jpg_180x320.npy
29,557,FBMS/FBMS_clean/JPEGImages/bear02/00458.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/bear02/00458.flo,,FBMS/FBMS_clean/Annotations/bear02/00458.png,bear02,458,FBMS/FBMS_clean/DINO/dino_vits8//bear02/00458.jpg_180x320.npy
30,558,FBMS/FBMS_clean/JPEGImages/cars2/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00001.flo.png,FBMS/FBMS_clean/Annotations/cars2/00001.png,cars2,1,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00001.jpg_240x320.npy
31,567,FBMS/FBMS_clean/JPEGImages/cars2/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00010.flo.png,FBMS/FBMS_clean/Annotations/cars2/00010.png,cars2,10,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00010.jpg_240x320.npy
32,577,FBMS/FBMS_clean/JPEGImages/cars2/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00020.flo.png,FBMS/FBMS_clean/Annotations/cars2/00020.png,cars2,20,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00020.jpg_240x320.npy
33,587,FBMS/FBMS_clean/JPEGImages/cars2/00030.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars2/00030.flo,,FBMS/FBMS_clean/Annotations/cars2/00030.png,cars2,30,FBMS/FBMS_clean/DINO/dino_vits8//cars2/00030.jpg_240x320.npy
34,588,FBMS/FBMS_clean/JPEGImages/cars3/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars3/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars3/00001.flo.png,FBMS/FBMS_clean/Annotations/cars3/00001.png,cars3,1,FBMS/FBMS_clean/DINO/dino_vits8//cars3/00001.jpg_240x320.npy
35,597,FBMS/FBMS_clean/JPEGImages/cars3/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars3/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars3/00010.flo.png,FBMS/FBMS_clean/Annotations/cars3/00010.png,cars3,10,FBMS/FBMS_clean/DINO/dino_vits8//cars3/00010.jpg_240x320.npy
36,606,FBMS/FBMS_clean/JPEGImages/cars3/00019.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars3/00019.flo,,FBMS/FBMS_clean/Annotations/cars3/00019.png,cars3,19,FBMS/FBMS_clean/DINO/dino_vits8//cars3/00019.jpg_240x320.npy
37,607,FBMS/FBMS_clean/JPEGImages/cars6/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00001.flo.png,FBMS/FBMS_clean/Annotations/cars6/00001.png,cars6,1,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00001.jpg_240x320.npy
38,616,FBMS/FBMS_clean/JPEGImages/cars6/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00010.flo.png,FBMS/FBMS_clean/Annotations/cars6/00010.png,cars6,10,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00010.jpg_240x320.npy
39,626,FBMS/FBMS_clean/JPEGImages/cars6/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00020.flo.png,FBMS/FBMS_clean/Annotations/cars6/00020.png,cars6,20,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00020.jpg_240x320.npy
40,636,FBMS/FBMS_clean/JPEGImages/cars6/00030.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars6/00030.flo,,FBMS/FBMS_clean/Annotations/cars6/00030.png,cars6,30,FBMS/FBMS_clean/DINO/dino_vits8//cars6/00030.jpg_240x320.npy
41,637,FBMS/FBMS_clean/JPEGImages/cars7/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars7/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars7/00001.flo.png,FBMS/FBMS_clean/Annotations/cars7/00001.png,cars7,1,FBMS/FBMS_clean/DINO/dino_vits8//cars7/00001.jpg_240x320.npy
42,646,FBMS/FBMS_clean/JPEGImages/cars7/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars7/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars7/00010.flo.png,FBMS/FBMS_clean/Annotations/cars7/00010.png,cars7,10,FBMS/FBMS_clean/DINO/dino_vits8//cars7/00010.jpg_240x320.npy
43,660,FBMS/FBMS_clean/JPEGImages/cars7/00024.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars7/00024.flo,,FBMS/FBMS_clean/Annotations/cars7/00024.png,cars7,24,FBMS/FBMS_clean/DINO/dino_vits8//cars7/00024.jpg_240x320.npy
44,661,FBMS/FBMS_clean/JPEGImages/cars8/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars8/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars8/00001.flo.png,FBMS/FBMS_clean/Annotations/cars8/00001.png,cars8,1,FBMS/FBMS_clean/DINO/dino_vits8//cars8/00001.jpg_240x320.npy
45,670,FBMS/FBMS_clean/JPEGImages/cars8/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars8/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars8/00010.flo.png,FBMS/FBMS_clean/Annotations/cars8/00010.png,cars8,10,FBMS/FBMS_clean/DINO/dino_vits8//cars8/00010.jpg_240x320.npy
46,684,FBMS/FBMS_clean/JPEGImages/cars8/00024.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars8/00024.flo,,FBMS/FBMS_clean/Annotations/cars8/00024.png,cars8,24,FBMS/FBMS_clean/DINO/dino_vits8//cars8/00024.jpg_240x320.npy
47,685,FBMS/FBMS_clean/JPEGImages/cars9/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00001.flo.png,FBMS/FBMS_clean/Annotations/cars9/00001.png,cars9,1,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00001.jpg_240x320.npy
48,694,FBMS/FBMS_clean/JPEGImages/cars9/00010.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00010.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00010.flo.png,FBMS/FBMS_clean/Annotations/cars9/00010.png,cars9,10,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00010.jpg_240x320.npy
49,704,FBMS/FBMS_clean/JPEGImages/cars9/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00020.flo.png,FBMS/FBMS_clean/Annotations/cars9/00020.png,cars9,20,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00020.jpg_240x320.npy
50,714,FBMS/FBMS_clean/JPEGImages/cars9/00030.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00030.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00030.flo.png,FBMS/FBMS_clean/Annotations/cars9/00030.png,cars9,30,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00030.jpg_240x320.npy
51,724,FBMS/FBMS_clean/JPEGImages/cars9/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00040.flo.png,FBMS/FBMS_clean/Annotations/cars9/00040.png,cars9,40,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00040.jpg_240x320.npy
52,734,FBMS/FBMS_clean/JPEGImages/cars9/00050.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00050.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00050.flo.png,FBMS/FBMS_clean/Annotations/cars9/00050.png,cars9,50,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00050.jpg_240x320.npy
53,744,FBMS/FBMS_clean/JPEGImages/cars9/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cars9/00060.flo,,FBMS/FBMS_clean/Annotations/cars9/00060.png,cars9,60,FBMS/FBMS_clean/DINO/dino_vits8//cars9/00060.jpg_240x320.npy
54,745,FBMS/FBMS_clean/JPEGImages/cats02/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00001.flo.png,FBMS/FBMS_clean/Annotations/cats02/00001.png,cats02,1,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00001.jpg_202x360.npy
55,764,FBMS/FBMS_clean/JPEGImages/cats02/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00020.flo.png,FBMS/FBMS_clean/Annotations/cats02/00020.png,cats02,20,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00020.jpg_202x360.npy
56,784,FBMS/FBMS_clean/JPEGImages/cats02/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00040.flo.png,FBMS/FBMS_clean/Annotations/cats02/00040.png,cats02,40,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00040.jpg_202x360.npy
57,804,FBMS/FBMS_clean/JPEGImages/cats02/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00060.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00060.flo.png,FBMS/FBMS_clean/Annotations/cats02/00060.png,cats02,60,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00060.jpg_202x360.npy
58,824,FBMS/FBMS_clean/JPEGImages/cats02/00080.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00080.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00080.flo.png,FBMS/FBMS_clean/Annotations/cats02/00080.png,cats02,80,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00080.jpg_202x360.npy
59,844,FBMS/FBMS_clean/JPEGImages/cats02/00100.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00100.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00100.flo.png,FBMS/FBMS_clean/Annotations/cats02/00100.png,cats02,100,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00100.jpg_202x360.npy
60,864,FBMS/FBMS_clean/JPEGImages/cats02/00120.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats02/00120.flo,,FBMS/FBMS_clean/Annotations/cats02/00120.png,cats02,120,FBMS/FBMS_clean/DINO/dino_vits8//cats02/00120.jpg_202x360.npy
61,865,FBMS/FBMS_clean/JPEGImages/cats04/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00001.flo.png,FBMS/FBMS_clean/Annotations/cats04/00001.png,cats04,1,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00001.jpg_270x480.npy
62,884,FBMS/FBMS_clean/JPEGImages/cats04/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00020.flo.png,FBMS/FBMS_clean/Annotations/cats04/00020.png,cats04,20,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00020.jpg_270x480.npy
63,904,FBMS/FBMS_clean/JPEGImages/cats04/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00040.flo.png,FBMS/FBMS_clean/Annotations/cats04/00040.png,cats04,40,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00040.jpg_270x480.npy
64,924,FBMS/FBMS_clean/JPEGImages/cats04/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00060.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00060.flo.png,FBMS/FBMS_clean/Annotations/cats04/00060.png,cats04,60,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00060.jpg_270x480.npy
65,944,FBMS/FBMS_clean/JPEGImages/cats04/00080.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00080.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00080.flo.png,FBMS/FBMS_clean/Annotations/cats04/00080.png,cats04,80,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00080.jpg_270x480.npy
66,962,FBMS/FBMS_clean/JPEGImages/cats04/00098.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats04/00098.flo,,FBMS/FBMS_clean/Annotations/cats04/00098.png,cats04,98,FBMS/FBMS_clean/DINO/dino_vits8//cats04/00098.jpg_270x480.npy
67,963,FBMS/FBMS_clean/JPEGImages/cats05/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00001.flo.png,FBMS/FBMS_clean/Annotations/cats05/00001.png,cats05,1,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00001.jpg_202x360.npy
68,982,FBMS/FBMS_clean/JPEGImages/cats05/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00020.flo.png,FBMS/FBMS_clean/Annotations/cats05/00020.png,cats05,20,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00020.jpg_202x360.npy
69,1002,FBMS/FBMS_clean/JPEGImages/cats05/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00040.flo.png,FBMS/FBMS_clean/Annotations/cats05/00040.png,cats05,40,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00040.jpg_202x360.npy
70,1022,FBMS/FBMS_clean/JPEGImages/cats05/00060.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00060.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00060.flo.png,FBMS/FBMS_clean/Annotations/cats05/00060.png,cats05,60,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00060.jpg_202x360.npy
71,1042,FBMS/FBMS_clean/JPEGImages/cats05/00080.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00080.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00080.flo.png,FBMS/FBMS_clean/Annotations/cats05/00080.png,cats05,80,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00080.jpg_202x360.npy
72,1049,FBMS/FBMS_clean/JPEGImages/cats05/00087.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats05/00087.flo,,FBMS/FBMS_clean/Annotations/cats05/00087.png,cats05,87,FBMS/FBMS_clean/DINO/dino_vits8//cats05/00087.jpg_202x360.npy
73,1050,FBMS/FBMS_clean/JPEGImages/cats07/00001.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats07/00001.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats07/00001.flo.png,FBMS/FBMS_clean/Annotations/cats07/00001.png,cats07,1,FBMS/FBMS_clean/DINO/dino_vits8//cats07/00001.jpg_180x320.npy
74,1069,FBMS/FBMS_clean/JPEGImages/cats07/00020.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats07/00020.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats07/00020.flo.png,FBMS/FBMS_clean/Annotations/cats07/00020.png,cats07,20,FBMS/FBMS_clean/DINO/dino_vits8//cats07/00020.jpg_180x320.npy
75,1089,FBMS/FBMS_clean/JPEGImages/cats07/00040.jpg,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats07/00040.flo,FBMS/FBMS_clean/OpticalFlowRaftSintel/cats07/00040.flo.png,FBMS/FBMS_clean/Annotations/cats07/00040.png,cats07,40,FBMS/FBMS_clean/DINO/dino_vits8//cats07/00040.jpg_180x320.npy
